Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1001),3,Dr. Meng HE,Fri 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1001),3,Dr. Meng HE,Thu 8:00-8:50,1,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1002),3,Dr. Meng HE,Thu 16:00-17:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1002),3,Dr. Meng HE,Wed 13:00-13:50,1,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1003),3,Dr. Meng HE,Mon 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1003),3,Dr. Meng HE,Thu 15:00-15:50,1,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1004),3,Dr. Sun LIU,Fri 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1004),3,Dr. Sun LIU,Mon 8:00-8:50,1,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1005),3,Dr. Yuyan TANG,Fri 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1005),3,Dr. Yuyan TANG,Mon 8:00-8:50,1,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1006),3,Dr. Yuyan TANG,Fri 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT2003,Principles of Accounting I (1006),3,Dr. Yuyan TANG,Thu 17:00-17:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1001),3,Dr. Sun LIU,Fri 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1001),3,Dr. Sun LIU,Wed 8:00-8:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1002),3,Mr. Donald Kwong Fuk CHAN,Fri 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1002),3,Mr. Donald Kwong Fuk CHAN,Tue 15:00-15:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1003),3,Mr. Donald Kwong Fuk CHAN,Mon 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1003),3,Mr. Donald Kwong Fuk CHAN,Tue 10:00-10:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1004),3,Dr. Po-Shu AU,Tue 15:00-16:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1004),3,Dr. Po-Shu AU,Wed 13:00-13:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1005),3,Dr. Yuyan TANG,Mon 10:00-11:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1005),3,Dr. Yuyan TANG,Thu 9:00-9:50,1,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1006),3,Dr. Yuyan TANG,Mon 19:00-20:50,2,MR,English,,,
FBM,ACCT,ACCT2013,Principles of Accounting II (1006),3,Dr. Yuyan TANG,Thu 8:00-8:50,1,MR,English,,,
